appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu
3920,Sid Meier's Pirates!,Firaxis Games,2K,,6520,374,0,"200,000 .. 500,000",874,9,261,9,999.0,999.0,0.0,108
3960,Shattered Union,PopTop,2K,,83,76,0,"20,000 .. 50,000",370,0,371,0,499.0,499.0,0.0,0
3980,CivCity: Rome,"FireFly Studios, Firaxis Games",2K,,624,234,0,"100,000 .. 200,000",753,0,687,0,249.0,999.0,75.0,8
3990,Civilization IV: Warlords,Firaxis Games,2K,,442,44,0,"500,000 .. 1,000,000",382,0,20,0,499.0,499.0,0.0,144
4000,Garry's Mod,Facepunch Studios,Valve,,1122546,37161,0,"20,000,000 .. 50,000,000",9979,441,1229,116,999.0,999.0,0.0,18400
4300,RoboBlitz,Naked Sky Entertainment,,,67,21,0,"20,000 .. 50,000",159,0,159,0,999.0,999.0,0.0,0
4460,City Life 2008,Monte Cristo,Focus Entertainment,,180,46,0,"20,000 .. 50,000",357,0,617,0,999.0,999.0,0.0,1
4470,Silverfall: Earth Awakening,Monte Cristo,Focus Entertainment,,66,27,0,"20,000 .. 50,000",343,0,578,0,499.0,499.0,0.0,0
4500,S.T.A.L.K.E.R.: Shadow of Chernobyl,GSC Game World,GSC Game World,,44761,2530,0,"1,000,000 .. 2,000,000",776,750,239,750,1999.0,1999.0,0.0,185
4520,Full Spectrum Warrior,Pandemic Studios,THQ Nordic,,214,85,0,"100,000 .. 200,000",77,0,12,0,249.0,999.0,75.0,2
4560,Company of Heroes - Legacy Edition,Relic Entertainment,SEGA,,6540,457,0,"2,000,000 .. 5,000,000",460,1,82,1,3699.0,3699.0,0.0,65
4570,"Warhammer 40,000: Dawn of War - Anniversary Edition",Relic Entertainment,Relic Entertainment,,10634,572,0,"1,000,000 .. 2,000,000",356,39,144,68,989.0,1499.0,34.0,76
4580,"Warhammer 40,000: Dawn of War - Dark Crusade",Relic Entertainment,SEGA,,8658,318,0,"1,000,000 .. 2,000,000",1044,83,245,116,0.0,0.0,0.0,236
4700,Total War: MEDIEVAL II – Definitive Edition,"CREATIVE ASSEMBLY, Feral Interactive (Mac), Feral Interactive (Linux)","SEGA, Feral Interactive (Mac), Feral Interactive (Linux)",,31910,1434,0,"1,000,000 .. 2,000,000",5229,768,592,734,2499.0,2499.0,0.0,2814
4720,Condemned: Criminal Origins,Monolith,SEGA,,3428,511,0,"200,000 .. 500,000",144,0,65,0,1495.0,1495.0,0.0,6
4760,Rome: Total War - Collection,CREATIVE ASSEMBLY,SEGA,,15304,873,0,"1,000,000 .. 2,000,000",2212,107,267,107,0.0,0.0,0.0,552
4770,Rome: Total War - Alexander,The Creative Assembly,SEGA,,658,210,0,"500,000 .. 1,000,000",158,0,44,0,0.0,0.0,0.0,18
4800,Heroes of Annihilated Empires,GSC Game World,GSC Game World,,624,106,0,"100,000 .. 200,000",705,0,1149,0,799.0,799.0,0.0,4
4850,Cossacks: Back to War,GSC Game World,GSC World Publishing,,2445,317,0,"200,000 .. 500,000",1658,0,378,0,499.0,499.0,0.0,124
4870,Cossacks: Art of War,GSC Game World,GSC World Publishing,,270,65,0,"100,000 .. 200,000",214,0,187,0,499.0,499.0,0.0,15
4880,Cossacks: European Wars,GSC Game World,GSC World Publishing,,439,155,0,"100,000 .. 200,000",451,0,483,0,499.0,499.0,0.0,20
4890,Cossacks II: Battle for Europe,GSC Game World,GSC World Publishing,,889,212,0,"100,000 .. 200,000",2388,0,1777,0,499.0,499.0,0.0,33
4900,Zen of Sudoku,Unknown Worlds Entertainment,Unknown Worlds Entertainment,,303,35,0,"20,000 .. 50,000",147,0,66,0,0.0,0.0,0.0,6
4920,Natural Selection 2,Unknown Worlds Entertainment,"Unknown Worlds Entertainment, KRAFTON, Inc.",,11207,1932,0,"1,000,000 .. 2,000,000",1223,119,200,119,249.0,499.0,50.0,95
6000,STAR WARS Republic Commando,LucasArts,"LucasArts, Lucasfilm, Disney",,15357,687,0,"1,000,000 .. 2,000,000",279,0,90,0,999.0,999.0,0.0,68
6010,Indiana Jones and the Fate of Atlantis,LucasArts,"LucasArts, Lucasfilm, Disney",,1341,91,0,"200,000 .. 500,000",212,0,140,0,599.0,599.0,0.0,6
6020,STAR WARS Jedi Knight - Jedi Academy,Raven Software,"LucasArts, Lucasfilm, Disney",,12746,524,0,"500,000 .. 1,000,000",658,46,150,46,999.0,999.0,0.0,138
6030,STAR WARS Jedi Knight II - Jedi Outcast,Raven Software,"LucasArts, Lucasfilm, Disney",,4281,413,0,"500,000 .. 1,000,000",315,50,131,50,999.0,999.0,0.0,40
6060,"STAR WARS Battlefront II (Classic, 2005)",Pandemic Studios,"Lucasfilm, LucasArts, Disney",,50396,2891,0,"2,000,000 .. 5,000,000",727,224,235,243,349.0,999.0,65.0,323
6080,Thrillville: Off the Rails,Frontier,LucasArts,,809,61,0,"50,000 .. 100,000",288,0,248,0,999.0,999.0,0.0,3
6120,Shank,Klei Entertainment,Klei Entertainment,,3379,378,0,"200,000 .. 500,000",126,0,77,0,999.0,999.0,0.0,2
6200,Ghost Master,Sick Puppies,Strategy First,,1685,191,0,"200,000 .. 500,000",175,99,113,99,499.0,499.0,0.0,2
6220,FlatOut,"Bugbear Entertainment, ZOOM Platform Media, Jordan Freeman Group",Strategy First,,5026,445,0,"100,000 .. 200,000",354,0,113,0,749.0,749.0,0.0,15
6250,Making History: The Calm & the Storm,Muzzy Lane,,,488,127,0,"50,000 .. 100,000",629,0,502,0,399.0,399.0,0.0,1
6250,Making History: The Calm & the Storm,Muzzy Lane,,,488,127,0,"50,000 .. 100,000",629,0,502,0,399.0,399.0,0.0,1
6300,Dreamfall: The Longest Journey,Funcom,Funcom,,970,182,0,"200,000 .. 500,000",368,0,375,0,1999.0,1999.0,0.0,2
6310,The Longest Journey,Funcom,Funcom,,1827,203,0,"200,000 .. 500,000",221,0,67,0,999.0,999.0,0.0,2
6370,Bloodline Champions,Stunlock Studios,Stunlock Studios,,1455,247,0,"500,000 .. 1,000,000",2751,0,115,0,0.0,0.0,0.0,3
6400,Joint Task Force,Most Wanted Entertainment,HD Publishing,,273,38,0,"50,000 .. 100,000",721,0,843,0,799.0,799.0,0.0,3
6420,Nexus - The Jupiter Incident,Mithis Games,HandyGames,,854,139,0,"100,000 .. 200,000",489,0,561,0,199.0,999.0,80.0,2
6510,Lost Planet: Extreme Condition,"CAPCOM Co., Ltd.",Capcom,,1586,361,0,"200,000 .. 500,000",200,0,97,0,344.0,1499.0,77.0,14
6550,Devil May Cry 3 Special Edition,"CAPCOM Co., Ltd.",Capcom,,2470,1501,0,"200,000 .. 500,000",480,0,119,0,0.0,0.0,0.0,8
6800,Commandos: Behind Enemy Lines,Pyro Studios,Kalypso Media Digital,,3378,377,0,"500,000 .. 1,000,000",304,0,22,0,499.0,499.0,0.0,54
6810,Commandos: Beyond the Call of Duty,Pyro Studios,Kalypso Media Digital,,909,117,0,"200,000 .. 500,000",335,0,15,0,249.0,499.0,50.0,25
6830,Commandos 2: Men of Courage,Pyro Studios,Kalypso Media Digital,,2320,381,0,"500,000 .. 1,000,000",227,0,18,0,499.0,499.0,0.0,26
6840,Commandos 3: Destination Berlin,Pyro Studios,Kalypso Media Digital,,681,407,0,"500,000 .. 1,000,000",238,0,15,0,499.0,499.0,0.0,6
6850,Hitman 2: Silent Assassin,Io-Interactive A/S,Io-Interactive A/S,,3478,724,0,"1,000,000 .. 2,000,000",212,0,39,0,899.0,899.0,0.0,19
6860,Hitman: Blood Money,Io-Interactive A/S,Io-Interactive A/S,,13213,821,0,"2,000,000 .. 5,000,000",456,290,130,290,999.0,999.0,0.0,66
6870,Battlestations: Midway,Eidos Interactive,Square Enix,,712,202,0,"500,000 .. 1,000,000",294,0,186,0,699.0,699.0,0.0,2
6880,Just Cause,Avalanche Studios,Square Enix,,3266,1674,0,"1,000,000 .. 2,000,000",282,0,48,0,699.0,699.0,0.0,8
6900,Hitman: Codename 47,IO Interactive A/S,IO Interactive A/S,,3044,1195,0,"500,000 .. 1,000,000",133,0,28,0,799.0,799.0,0.0,20
6910,Deus Ex: Game of the Year Edition,Ion Storm,Eidos Interactive Corp.,,13801,751,0,"1,000,000 .. 2,000,000",400,0,53,0,97.0,699.0,86.0,48
6920,Deus Ex: Invisible War,Ion Storm,Eidos Interactive Corp.,,1322,969,0,"1,000,000 .. 2,000,000",105,0,14,0,97.0,699.0,86.0,3
6980,Thief: Deadly Shadows,Ion Storm,Eidos Interactive Corp.,,1990,459,0,"500,000 .. 1,000,000",251,0,45,0,98.0,899.0,89.0,6
7000,Tomb Raider: Legend,Crystal Dynamics,Crystal Dynamics,,4690,664,0,"500,000 .. 1,000,000",250,0,87,0,97.0,699.0,86.0,23
7020,Rogue Trooper,Rebellion,Rebellion,,451,26,0,"50,000 .. 100,000",635,0,1036,0,999.0,999.0,0.0,0
7020,Rogue Trooper,Rebellion,Rebellion,,451,26,0,"50,000 .. 100,000",635,0,1036,0,999.0,999.0,0.0,0
7200,Trackmania United Forever,Nadeo,Ubisoft,,2482,136,0,"200,000 .. 500,000",5702,0,917,0,2999.0,2999.0,0.0,75
7210,"Runaway, A Road Adventure",Pendulo Studios,Focus Entertainment,,549,166,0,"100,000 .. 200,000",747,0,271,0,499.0,499.0,0.0,2
